"COUNTRY","Country","DAGEGR","Age groups","DSEX","Gender","DSTATUS","Status of population","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","1519","15-19 years","1","Males","90","All population","2002","2002","PER","Persons","0","units",,,696033,,
"AUS","Australia","1519","15-19 years","1","Males","90","All population","2003","2003","PER","Persons","0","units",,,698587,,
"AUS","Australia","1519","15-19 years","1","Males","90","All population","2004","2004","PER","Persons","0","units",,,702012,,
"AUS","Australia","1519","15-19 years","1","Males","90","All population","2005","2005","PER","Persons","0","units",,,708305,,
"AUS","Australia","1519","15-19 years","1","Males","90","All population","2006","2006","PER","Persons","0","units",,,720491,,
"AUS","Australia","1519","15-19 years","1","Males","90","All population","2007","2007","PER","Persons","0","units",,,739515,,
"AUS","Australia","1519","15-19 years","1","Males","90","All population","2008","2008","PER","Persons","0","units",,,756525,,
"AUS","Australia","1519","15-19 years","1","Males","90","All population","2009","2009","PER","Persons","0","units",,,767426,,
"AUS","Australia","1519","15-19 years","1","Males","90","All population","2010","2010","PER","Persons","0","units",,,770614,,
"AUS","Australia","1519","15-19 years","1","Males","90","All population","2011","2011","PER","Persons","0","units",,,765850,,
"AUS","Australia","1519","15-19 years","1","Males","90","All population","2012","2012","PER","Persons","0","units",,,748674,,
"AUS","Australia","1519","15-19 years","2","Females","90","All population","2002","2002","PER","Persons","0","units",,,664072,,
"AUS","Australia","1519","15-19 years","2","Females","90","All population","2003","2003","PER","Persons","0","units",,,665547,,
"AUS","Australia","1519","15-19 years","2","Females","90","All population","2004","2004","PER","Persons","0","units",,,668445,,
"AUS","Australia","1519","15-19 years","2","Females","90","All population","2005","2005","PER","Persons","0","units",,,672774,,
"AUS","Australia","1519","15-19 years","2","Females","90","All population","2006","2006","PER","Persons","0","units",,,684928,,
"AUS","Australia","1519","15-19 years","2","Females","90","All population","2007","2007","PER","Persons","0","units",,,700766,,
"AUS","Australia","1519","15-19 years","2","Females","90","All population","2008","2008","PER","Persons","0","units",,,714624,,
"AUS","Australia","1519","15-19 years","2","Females","90","All population","2009","2009","PER","Persons","0","units",,,726372,,
"AUS","Australia","1519","15-19 years","2","Females","90","All population","2010","2010","PER","Persons","0","units",,,730396,,
"AUS","Australia","1519","15-19 years","2","Females","90","All population","2011","2011","PER","Persons","0","units",,,726523,,
"AUS","Australia","1519","15-19 years","2","Females","90","All population","2012","2012","PER","Persons","0","units",,,711514,,
"AUS","Australia","2024","20-24 years","1","Males","90","All population","2002","2002","PER","Persons","0","units",,,676737,,
"AUS","Australia","2024","20-24 years","1","Males","90","All population","2003","2003","PER","Persons","0","units",,,696402,,
"AUS","Australia","2024","20-24 years","1","Males","90","All population","2004","2004","PER","Persons","0","units",,,714044,,
"AUS","Australia","2024","20-24 years","1","Males","90","All population","2005","2005","PER","Persons","0","units",,,729792,,
"AUS","Australia","2024","20-24 years","1","Males","90","All population","2006","2006","PER","Persons","0","units",,,746088,,
"AUS","Australia","2024","20-24 years","1","Males","90","All population","2007","2007","PER","Persons","0","units",,,759719,,
"AUS","Australia","2024","20-24 years","1","Males","90","All population","2008","2008","PER","Persons","0","units",,,782998,,
"AUS","Australia","2024","20-24 years","1","Males","90","All population","2009","2009","PER","Persons","0","units",,,810048,,
"AUS","Australia","2024","20-24 years","1","Males","90","All population","2010","2010","PER","Persons","0","units",,,849732,,
"AUS","Australia","2024","20-24 years","1","Males","90","All population","2011","2011","PER","Persons","0","units",,,853731,,
"AUS","Australia","2024","20-24 years","1","Males","90","All population","2012","2012","PER","Persons","0","units",,,827157,,
"AUS","Australia","2024","20-24 years","2","Females","90","All population","2002","2002","PER","Persons","0","units",,,652455,,
"AUS","Australia","2024","20-24 years","2","Females","90","All population","2003","2003","PER","Persons","0","units",,,667642,,
"AUS","Australia","2024","20-24 years","2","Females","90","All population","2004","2004","PER","Persons","0","units",,,678268,,
"AUS","Australia","2024","20-24 years","2","Females","90","All population","2005","2005","PER","Persons","0","units",,,690799,,
"AUS","Australia","2024","20-24 years","2","Females","90","All population","2006","2006","PER","Persons","0","units",,,707341,,
"AUS","Australia","2024","20-24 years","2","Females","90","All population","2007","2007","PER","Persons","0","units",,,734417,,
"AUS","Australia","2024","20-24 years","2","Females","90","All population","2008","2008","PER","Persons","0","units",,,747592,,
"AUS","Australia","2024","20-24 years","2","Females","90","All population","2009","2009","PER","Persons","0","units",,,771739,,
"AUS","Australia","2024","20-24 years","2","Females","90","All population","2010","2010","PER","Persons","0","units",,,799927,,
"AUS","Australia","2024","20-24 years","2","Females","90","All population","2011","2011","PER","Persons","0","units",,,804741,,
"AUS","Australia","2024","20-24 years","2","Females","90","All population","2012","2012","PER","Persons","0","units",,,795267,,
"AUS","Australia","2529","25-29 years","1","Males","90","All population","2002","2002","PER","Persons","0","units",,,689035,,
"AUS","Australia","2529","25-29 years","1","Males","90","All population","2003","2003","PER","Persons","0","units",,,683946,,
"AUS","Australia","2529","25-29 years","1","Males","90","All population","2004","2004","PER","Persons","0","units",,,683704,,
"AUS","Australia","2529","25-29 years","1","Males","90","All population","2005","2005","PER","Persons","0","units",,,691706,,
"AUS","Australia","2529","25-29 years","1","Males","90","All population","2006","2006","PER","Persons","0","units",,,706314,,
"AUS","Australia","2529","25-29 years","1","Males","90","All population","2007","2007","PER","Persons","0","units",,,729722,,
"AUS","Australia","2529","25-29 years","1","Males","90","All population","2008","2008","PER","Persons","0","units",,,765653,,
"AUS","Australia","2529","25-29 years","1","Males","90","All population","2009","2009","PER","Persons","0","units",,,803368,,
"AUS","Australia","2529","25-29 years","1","Males","90","All population","2010","2010","PER","Persons","0","units",,,844968,,
"AUS","Australia","2529","25-29 years","1","Males","90","All population","2011","2011","PER","Persons","0","units",,,858021,,
"AUS","Australia","2529","25-29 years","1","Males","90","All population","2012","2012","PER","Persons","0","units",,,854925,,
"AUS","Australia","2529","25-29 years","2","Females","90","All population","2002","2002","PER","Persons","0","units",,,687472,,
"AUS","Australia","2529","25-29 years","2","Females","90","All population","2003","2003","PER","Persons","0","units",,,677970,,
"AUS","Australia","2529","25-29 years","2","Females","90","All population","2004","2004","PER","Persons","0","units",,,672576,,
"AUS","Australia","2529","25-29 years","2","Females","90","All population","2005","2005","PER","Persons","0","units",,,675196,,
