"","Country","Age.groups","Year","Rate","Gender","value"
"1","Australia","15-19 years",2002,48.8251,"Females",664072
"2","Australia","15-19 years",2003,48.789,"Females",665547
"3","Australia","15-19 years",2004,48.7753,"Females",668445
"4","Australia","15-19 years",2005,48.7137,"Females",672774
"5","Australia","15-19 years",2006,48.7348,"Females",684928
"6","Australia","15-19 years",2007,48.6548,"Females",700766
"7","Australia","15-19 years",2008,48.5759,"Females",714624
"8","Australia","15-19 years",2009,48.6259,"Females",726372
"9","Australia","15-19 years",2010,48.6603,"Females",730396
"10","Australia","15-19 years",2011,48.6824,"Females",726523
"11","Australia","15-19 years",2012,48.7276,"Females",711514
"12","Australia","20-24 years",2002,49.0866,"Females",652455
"13","Australia","20-24 years",2003,48.9458,"Females",667642
"14","Australia","20-24 years",2004,48.7152,"Females",678268
"15","Australia","20-24 years",2005,48.6276,"Females",690799
"16","Australia","20-24 years",2006,48.667,"Females",707341
"17","Australia","20-24 years",2007,49.1533,"Females",734417
"18","Australia","20-24 years",2008,48.8434,"Females",747592
"19","Australia","20-24 years",2009,48.7891,"Females",771739
"20","Australia","20-24 years",2010,48.4904,"Females",799927
"21","Australia","20-24 years",2011,48.523,"Females",804741
"22","Australia","20-24 years",2012,49.0172,"Females",795267
"23","Australia","25-29 years",2002,49.9432,"Females",687472
"24","Australia","25-29 years",2003,49.7806,"Females",677970
"25","Australia","25-29 years",2004,49.5898,"Females",672576
"26","Australia","25-29 years",2005,49.3961,"Females",675196
"27","Australia","25-29 years",2006,49.2577,"Females",685650
"28","Australia","25-29 years",2007,49.4814,"Females",714739
"29","Australia","25-29 years",2008,49.3938,"Females",747311
"30","Australia","25-29 years",2009,49.2952,"Females",781035
"31","Australia","25-29 years",2010,49.2592,"Females",820295
"32","Australia","25-29 years",2011,49.2615,"Females",833045
"33","Australia","25-29 years",2012,49.3482,"Females",832921
"34","Australia","30-34 years",2002,50.418,"Females",756676
"35","Australia","30-34 years",2003,50.4122,"Females",766190
"36","Australia","30-34 years",2004,50.3157,"Females",765164
"37","Australia","30-34 years",2005,50.2196,"Females",760169
"38","Australia","30-34 years",2006,50.0993,"Females",741858
"39","Australia","30-34 years",2007,50.1229,"Females",735911
"40","Australia","30-34 years",2008,50.0216,"Females",736811
"41","Australia","30-34 years",2009,49.8988,"Females",744406
"42","Australia","30-34 years",2010,49.93,"Females",765947
"43","Australia","30-34 years",2011,49.8965,"Females",782266
"44","Australia","30-34 years",2012,49.8316,"Females",789819
"45","Australia","35-39 years",2002,50.2846,"Females",741963
"46","Australia","35-39 years",2003,50.2974,"Females",735055
"47","Australia","35-39 years",2004,50.3041,"Females",735150
"48","Australia","35-39 years",2005,50.2493,"Females",741694
"49","Australia","35-39 years",2006,50.2055,"Females",760402
"50","Australia","35-39 years",2007,50.303,"Females",787231
"51","Australia","35-39 years",2008,50.3261,"Females",804385
"52","Australia","35-39 years",2009,50.271,"Females",810110
"53","Australia","35-39 years",2010,50.3402,"Females",813524
"54","Australia","35-39 years",2011,50.2639,"Females",799551
"55","Australia","35-39 years",2012,50.1835,"Females",780149
"56","Australia","40 years and over",2002,51.5864,"Females",4443998
"57","Australia","40 years and over",2003,51.5577,"Females",4547256
"58","Australia","40 years and over",2004,51.5319,"Females",4643832
"59","Australia","40 years and over",2005,51.515,"Females",4740066
"60","Australia","40 years and over",2006,51.5026,"Females",4827849
"61","Australia","40 years and over",2007,51.5647,"Females",4912909
"62","Australia","40 years and over",2008,51.5568,"Females",5011311
"63","Australia","40 years and over",2009,51.5282,"Females",5115194
"64","Australia","40 years and over",2010,51.5291,"Females",5228019
"65","Australia","40 years and over",2011,51.5387,"Females",5339162
"66","Australia","40 years and over",2012,51.5462,"Females",5415113
"67","Austria","15-19 years",2002,48.8739,"Females",234806
"68","Austria","15-19 years",2003,48.7844,"Females",233352
"69","Austria","15-19 years",2004,48.7165,"Females",235329
"70","Austria","15-19 years",2005,48.6976,"Females",237215
"71","Austria","15-19 years",2006,48.7549,"Females",239767
"72","Austria","15-19 years",2007,48.7804,"Females",242109
"73","Austria","15-19 years",2008,48.7427,"Females",244053
"74","Austria","15-19 years",2009,48.78,"Females",245051
"75","Austria","15-19 years",2010,48.6982,"Females",244097
"76","Austria","15-19 years",2011,48.6956,"Females",241415
"77","Austria","15-19 years",2012,48.6312,"Females",238107
"78","Austria","20-24 years",2002,49.1828,"Females",237374
"79","Austria","20-24 years",2003,49.2913,"Females",243018
"80","Austria","20-24 years",2004,49.3921,"Females",252243
"81","Austria","20-24 years",2005,49.5018,"Females",259551
"82","Austria","20-24 years",2006,49.4791,"Females",261651
"83","Austria","20-24 years",2007,49.4946,"Females",259879
"84","Austria","20-24 years",2008,49.5351,"Females",258266
"85","Austria","20-24 years",2009,49.4542,"Females",257633
"86","Austria","20-24 years",2010,49.4445,"Females",257599
"87","Austria","20-24 years",2011,49.4368,"Females",259122
"88","Austria","20-24 years",2012,49.2739,"Females",262119
"89","Austria","25-29 years",2002,50.1668,"Females",267902
"90","Austria","25-29 years",2003,50.0587,"Females",254559
"91","Austria","25-29 years",2004,49.8469,"Females",253799
"92","Austria","25-29 years",2005,49.6081,"Females",252684
"93","Austria","25-29 years",2006,49.4753,"Females",256237
"94","Austria","25-29 years",2007,49.5351,"Females",262292
"95","Austria","25-29 years",2008,49.6456,"Females",269906
"96","Austria","25-29 years",2009,49.727,"Females",274070
"97","Austria","25-29 years",2010,49.8787,"Females",277868
"98","Austria","25-29 years",2011,49.8703,"Females",277711
"99","Austria","25-29 years",2012,49.7641,"Females",276526
"100","Austria","30-34 years",2002,49.4598,"Females",335918
"101","Austria","30-34 years",2003,49.9308,"Females",316403
"102","Austria","30-34 years",2004,50.1239,"Females",307044
"103","Austria","30-34 years",2005,50.2079,"Females",297448
"104","Austria","30-34 years",2006,50.1912,"Females",289722
"105","Austria","30-34 years",2007,50.1584,"Females",280454
"106","Austria","30-34 years",2008,50.1251,"Females",273222
"107","Austria","30-34 years",2009,50.0114,"Females",268151
"108","Austria","30-34 years",2010,49.8398,"Females",263825
"109","Austria","30-34 years",2011,49.7323,"Females",264966
"110","Austria","30-34 years",2012,49.7289,"Females",271360
"111","Austria","35-39 years",2002,48.9073,"Females",352582
"112","Austria","35-39 years",2003,49.2883,"Females",347648
"113","Austria","35-39 years",2004,49.2762,"Females",348446
"114","Austria","35-39 years",2005,49.3618,"Females",346660
"115","Austria","35-39 years",2006,49.4894,"Females",341710
"116","Austria","35-39 years",2007,49.6682,"Females",334979
"117","Austria","35-39 years",2008,49.9075,"Females",326995
"118","Austria","35-39 years",2009,50.1567,"Females",314971
"119","Austria","35-39 years",2010,50.3281,"Females",303457
"120","Austria","35-39 years",2011,50.3794,"Females",294508
"121","Austria","35-39 years",2012,50.3198,"Females",285389
"122","Austria","40 years and over",2002,53.7545,"Females",2099667
"123","Austria","40 years and over",2003,53.9695,"Females",2111955
"124","Austria","40 years and over",2004,53.7983,"Females",2145830
"125","Austria","40 years and over",2005,53.6443,"Females",2182492
"126","Austria","40 years and over",2006,53.4811,"Females",2217881
"127","Austria","40 years and over",2007,53.3441,"Females",2250983
"128","Austria","40 years and over",2008,53.2181,"Females",2282422
"129","Austria","40 years and over",2009,53.0947,"Females",2312302
"130","Austria","40 years and over",2010,53.0089,"Females",2342358
"131","Austria","40 years and over",2011,52.9367,"Females",2369101
"132","Austria","40 years and over",2012,52.881,"Females",2394756
"133","Belgium","15-19 years",2002,48.8903,"Females",295150
"134","Belgium","15-19 years",2003,48.9109,"Females",295749
"135","Belgium","15-19 years",2004,48.9427,"Females",299048
"136","Belgium","15-19 years",2005,48.9332,"Females",302986
"137","Belgium","15-19 years",2006,48.9244,"Females",309498
"138","Belgium","15-19 years",2007,48.9726,"Females",315090
"139","Belgium","15-19 years",2008,48.971,"Females",319445
"140","Belgium","15-19 years",2009,48.9999,"Females",320482
"141","Belgium","15-19 years",2010,48.9446,"Females",318449
"142","Belgium","15-19 years",2011,48.9706,"Females",315744
"143","Belgium","15-19 years",2012,49.0055,"Females",312581
"144","Belgium","20-24 years",2002,49.5247,"Females",318136
"145","Belgium","20-24 years",2003,49.4819,"Females",319540
"146","Belgium","20-24 years",2004,49.4995,"Females",319275
"147","Belgium","20-24 years",2005,49.6732,"Females",318785
"148","Belgium","20-24 years",2006,49.7332,"Females",316884
"149","Belgium","20-24 years",2007,49.7778,"Females",317150
"150","Belgium","20-24 years",2008,49.818,"Females",319092
"151","Belgium","20-24 years",2009,49.8503,"Females",324396
"152","Belgium","20-24 years",2010,49.821,"Females",329176
"153","Belgium","20-24 years",2011,49.7811,"Females",337483
"154","Belgium","20-24 years",2012,49.7817,"Females",343190
"155","Belgium","25-29 years",2002,49.446,"Females",327879
"156","Belgium","25-29 years",2003,49.4986,"Females",324117
"157","Belgium","25-29 years",2004,49.6217,"Females",323553
"158","Belgium","25-29 years",2005,49.6503,"Females",325588
"159","Belgium","25-29 years",2006,49.8036,"Females",332571
"160","Belgium","25-29 years",2007,49.8546,"Females",338195
"161","Belgium","25-29 years",2008,49.8777,"Females",342257
"162","Belgium","25-29 years",2009,49.9233,"Females",344963
"163","Belgium","25-29 years",2010,50.0858,"Females",346448
"164","Belgium","25-29 years",2011,50.0814,"Females",346897
"165","Belgium","25-29 years",2012,50.1297,"Females",348150
"166","Belgium","30-34 years",2002,49.3223,"Females",366985
"167","Belgium","30-34 years",2003,49.3824,"Females",365635
"168","Belgium","30-34 years",2004,49.4156,"Females",361880
"169","Belgium","30-34 years",2005,49.4691,"Females",355929
"170","Belgium","30-34 years",2006,49.5495,"Females",348529
"171","Belgium","30-34 years",2007,49.5274,"Females",342423
"172","Belgium","30-34 years",2008,49.5594,"Females",340275
"173","Belgium","30-34 years",2009,49.6557,"Females",342202
"174","Belgium","30-34 years",2010,49.6889,"Females",346856
"175","Belgium","30-34 years",2011,49.741,"Females",355938
"176","Belgium","30-34 years",2012,49.7906,"Females",361652
"177","Belgium","35-39 years",2002,49.2694,"Females",398800
"178","Belgium","35-39 years",2003,49.2338,"Females",394835
"179","Belgium","35-39 years",2004,49.262,"Females",388537
"180","Belgium","35-39 years",2005,49.2935,"Females",381393
"181","Belgium","35-39 years",2006,49.333,"Females",378295
"182","Belgium","35-39 years",2007,49.3636,"Females",376643
"183","Belgium","35-39 years",2008,49.4314,"Females",376623
"184","Belgium","35-39 years",2009,49.4003,"Females",373829
"185","Belgium","35-39 years",2010,49.4454,"Females",369716
"186","Belgium","35-39 years",2011,49.4199,"Females",363784
"187","Belgium","35-39 years",2012,49.4179,"Females",358703
"188","Belgium","40 years and over",2002,53.1141,"Females",2677915
"189","Belgium","40 years and over",2003,53.0375,"Females",2707846
